1177,0.01208449,-1.418906E-07,-9.7547E-07,Infinity,Infinity,Infinity,Infinity,Infinity,
1395,-0.06960942,-7.033874E-12,-9.834281E-07,NaN,NaN,NaN,NaN,NaN,
1397,-0.06575652,2.550812E-13,-9.834275E-07,0.039811,-0.04852095,-0.01193297,-1.355674E-11,-1.300565E-11,
1399,-0.05473035,8.082031E-12,-9.834114E-07,NaN,NaN,NaN,NaN,NaN,
1401,-0.03825374,1.642962E-11,-9.833785E-07,NaN,NaN,NaN,NaN,NaN,
1403,-0.01801821,2.3788E-11,-9.83331E-07,NaN,NaN,NaN,NaN,NaN,
1405,0.004002804,2.993154E-11,-9.832711E-07,NaN,NaN,NaN,NaN,NaN,
1407,0.02572624,3.548503E-11,-9.832002E-07,NaN,NaN,NaN,NaN,NaN,
1409,0.04488108,3.765436E-11,-9.831248E-07,NaN,NaN,NaN,NaN,NaN,
1411,0.05963485,3.893861E-11,-9.830469E-07,NaN,NaN,NaN,NaN,NaN,
1413,0.06846831,3.808823E-11,-9.829707E-07,NaN,NaN,NaN,NaN,NaN,
1415,0.07059836,3.532883E-11,-9.829001E-07,NaN,NaN,NaN,NaN,NaN,
1417,0.0658214,3.055631E-11,-9.82839E-07,NaN,NaN,NaN,NaN,NaN,
1419,0.0545603,2.441276E-11,-9.827902E-07,NaN,NaN,NaN,NaN,NaN,
1421,0.0378331,1.797418E-11,-9.827542E-07,NaN,NaN,NaN,NaN,NaN,
1423,0.01748794,1.056375E-11,-9.827331E-07,NaN,NaN,NaN,NaN,NaN,
1425,-0.004580067,5.305286E-12,-9.827224E-07,NaN,NaN,NaN,NaN,NaN,
1427,-0.02620953,8.277845E-13,-9.827208E-07,NaN,NaN,NaN,NaN,NaN,
1429,-0.04517642,-2.69521E-12,-9.827262E-07,NaN,NaN,NaN,NaN,NaN,
1431,-0.05972658,-4.48274E-12,-9.827352E-07,NaN,NaN,NaN,NaN,NaN,
1433,-0.06826247,-3.632362E-12,-9.827424E-07,NaN,NaN,NaN,NaN,NaN,
1435,-0.07006362,1.162437E-13,-9.827422E-07,NaN,NaN,NaN,NaN,NaN,
1437,-0.06497341,3.951623E-12,-9.827343E-07,NaN,NaN,NaN,NaN,NaN,
1439,-0.05341472,1.068523E-11,-9.827129E-07,NaN,NaN,NaN,NaN,NaN,
